radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
169;179;960;B6.1;yes;yes;no;yes;no;no;no;no;6;0;0
176;144;740;B8.1;yes;yes;no;yes;no;no;yes;no;9;0;0
181;189;1360;B7.7;yes;yes;no;yes;no;no;no;no;8;0;0
189;171;1210;C1.8;yes;yes;no;yes;no;no;no;no;5;2;0
204;133;1270;C1.4;yes;yes;no;no;no;no;yes;no;4;1;0
207;189;1880;C1.0;yes;yes;no;yes;no;no;no;no;5;0;0
206;262;1890;C1.4;yes;yes;no;yes;no;no;no;no;17;0;0
209;162;1690;B8.1;yes;yes;no;yes;no;no;no;no;5;0;0
216;176;1820;C1.0;yes;yes;no;yes;no;no;no;no;8;2;0
217;200;2030;C1.3;yes;yes;no;yes;no;no;no;no;11;0;0
206;234;2010;C1.1;yes;yes;no;yes;no;no;no;no;7;0;0
208;227;1970;C1.5;yes;yes;no;yes;no;no;no;no;13;0;0
206;245;1930;C1.1;yes;yes;no;yes;no;no;no;no;13;0;0
205;212;1710;C1.3;yes;yes;no;no;no;no;yes;no;4;2;0
194;220;1290;C1.2;yes;yes;no;yes;no;no;yes;no;7;2;0
197;235;1430;C1.0;yes;yes;no;yes;no;no;yes;no;8;0;0
212;263;1800;B9.3;yes;yes;no;yes;no;no;yes;no;7;2;0
226;257;2160;C1.1;no;yes;no;yes;no;no;yes;no;9;0;0
210;236;2170;C2.4;yes;yes;no;yes;no;no;yes;no;9;2;0
203;243;2400;C5.4;yes;yes;no;no;no;no;yes;no;5;2;0
196;172;1540;C1.9;yes;yes;no;yes;no;no;yes;no;4;1;0
194;137;1100;C1.0;yes;yes;no;no;no;no;yes;no;7;1;0
188;160;1380;C1.3;yes;yes;no;no;no;no;yes;no;6;0;0
180;182;1430;B8.6;yes;yes;no;yes;no;no;no;no;8;0;0
177;185;1330;C1.0;yes;yes;no;yes;no;no;no;no;10;0;0
173;160;1030;C1.3;no;yes;no;yes;no;no;no;no;4;0;1
170;155;980;C1.0;yes;yes;no;yes;no;no;no;no;8;0;0
175;180;1060;B9.9;yes;yes;no;yes;no;no;no;no;3;0;0
177;256;1290;B9.2;yes;yes;no;no;no;no;no;no;14;1;0
167;208;850;B5.9;yes;yes;no;no;no;no;no;no;3;0;0
163;160;920;B4.9;yes;yes;no;no;no;no;no;no;6;0;0
157;173;880;B7.2;yes;yes;no;no;no;no;no;no;3;0;0
147;121;690;B4.4;yes;yes;no;no;no;no;no;no;3;0;0
153;124;790;B7.1;yes;yes;no;no;no;no;no;no;6;0;0
153;113;550;B9.4;yes;yes;no;no;no;no;no;no;5;1;0
162;166;960;B6.1;no;yes;no;no;no;no;no;no;6;0;0
169;187;1080;B6.0;yes;yes;no;yes;no;no;no;no;6;0;0
179;242;1490;C1.1;yes;yes;no;yes;no;no;no;no;6;0;0
190;271;1480;B8.9;yes;yes;no;yes;no;no;yes;no;9;0;0
180;317;1680;B6.7;yes;yes;no;no;no;no;yes;no;6;0;0
191;226;1320;B6.2;yes;yes;no;no;no;no;yes;no;5;0;0
187;217;1320;C2.6;yes;yes;no;yes;no;no;no;no;6;1;0
187;249;1440;B6.2;yes;yes;no;yes;no;no;no;no;7;0;0
190;244;1620;B7.5;yes;yes;no;yes;no;no;no;no;5;0;0
191;245;2230;C1.2;yes;yes;no;yes;no;no;no;no;11;0;0
188;226;2300;B8.3;yes;yes;no;no;no;no;yes;no;10;1;0
183;210;2130;B7.2;yes;yes;no;no;no;no;yes;no;7;0;0
172;168;1640;B7.5;yes;yes;no;no;no;no;yes;no;7;0;0
161;134;880;B8.2;yes;yes;no;no;no;no;yes;no;5;0;0
159;137;990;B8.0;yes;yes;no;yes;no;no;no;no;3;1;0
158;120;1440;C2.1;yes;yes;no;yes;no;no;no;no;3;0;0
157;134;1820;B7.2;yes;yes;no;no;no;no;no;no;6;3;0
163;140;1760;B7.0;yes;yes;no;no;no;no;yes;no;6;0;0
171;155;1730;B7.6;yes;yes;no;no;no;no;yes;no;13;0;0
171;171;2140;C1.3;yes;yes;no;no;no;no;yes;no;6;2;1
186;185;1980;B9.3;yes;yes;no;yes;no;no;yes;no;5;1;0
181;217;1870;C4.7;yes;yes;no;no;no;yes;yes;no;4;0;0
180;229;1450;B5.8;yes;yes;no;yes;no;yes;yes;no;2;0;0
189;242;1240;B5.6;yes;yes;no;no;no;yes;yes;no;6;1;0
183;221;1200;B6.2;yes;yes;no;yes;no;yes;yes;no;3;0;0
183;232;1400;B8.4;yes;yes;no;no;no;yes;yes;no;8;0;0
187;227;1280;B8.5;yes;yes;no;yes;no;no;no;no;10;1;0
186;218;1440;C1.4;yes;yes;no;yes;no;no;no;no;12;0;0
185;206;1850;C1.3;yes;yes;no;yes;no;no;no;no;16;0;0
180;190;1620;B9.7;yes;yes;no;yes;no;no;no;no;8;2;0
182;202;1540;C1.9;yes;yes;no;yes;no;no;no;no;5;1;0
179;192;1460;C1.1;yes;yes;no;yes;no;no;no;no;4;2;0
175;189;1250;C1.6;yes;yes;no;yes;no;no;no;no;9;1;0
170;208;1130;B9.0;yes;yes;no;yes;no;no;no;no;10;0;0
170;217;1030;B4.6;yes;yes;no;yes;no;no;no;no;5;0;0
159;218;1190;B4.4;yes;yes;no;yes;no;no;no;no;2;0;0
155;190;980;B4.0;yes;yes;no;no;no;no;no;no;1;0;0
158;190;1060;B3.9;yes;yes;no;no;no;no;no;no;1;0;0
155;181;1140;B4.3;yes;yes;no;no;no;no;no;no;2;0;0
157;180;1050;B3.9;yes;yes;no;no;no;no;no;no;1;0;0
152;177;1180;B6.2;yes;yes;no;no;no;no;no;no;3;0;0
148;131;960;B5.8;yes;yes;no;yes;no;no;no;no;6;0;0
142;134;940;B5.4;yes;yes;no;yes;no;no;no;no;2;0;0
133;126;830;B4.4;yes;yes;no;yes;no;no;no;no;0;0;0
131;102;650;B5.2;yes;yes;no;no;no;no;no;no;3;0;0
135;137;640;B9.2;yes;yes;no;no;no;no;no;no;2;0;0
137;132;670;B4.4;yes;yes;no;no;no;no;no;no;3;0;0
143;116;710;B3.7;yes;yes;no;no;no;no;no;no;2;0;0
143;174;950;B4.7;yes;yes;no;no;no;no;no;no;0;0;0
146;127;1060;B4.2;yes;yes;no;no;no;no;no;no;1;0;0
145;122;870;B4.5;yes;yes;no;no;no;no;no;no;2;0;0
140;113;940;B4.4;yes;yes;no;no;no;no;no;no;2;0;0
142;102;870;B4.2;yes;yes;no;yes;no;no;no;no;1;0;0
143;144;960;B4.8;yes;yes;no;yes;no;no;no;no;1;1;0
150;133;960;B3.2;yes;yes;no;yes;no;no;no;no;1;0;0
145;127;950;B3.2;yes;yes;no;yes;no;no;no;no;0;0;0
144;102;860;B3.6;yes;yes;no;yes;no;no;no;no;2;0;0
139;106;820;B2.9;yes;yes;no;yes;no;no;no;no;0;0;0
137;94;730;B3.3;yes;yes;no;yes;no;no;no;no;2;0;0
143;105;950;B3.9;yes;yes;no;no;no;no;no;no;4;0;0
147;111;1070;B5.9;yes;yes;no;no;no;no;no;no;3;0;0
147;100;1000;B5.9;yes;yes;no;yes;no;no;no;no;7;0;0
149;85;1010;B5.4;no;yes;no;yes;no;no;no;no;7;1;0
173;147;1200;B7.5;yes;yes;no;yes;no;no;no;no;9;2;1
146;175;1270;C1.4;yes;yes;no;yes;no;no;yes;no;17;1;0
139;149;1050;B4.7;yes;yes;no;yes;no;no;no;no;8;1;0
134;123;830;B4.5;yes;yes;no;yes;no;no;no;no;4;1;0
137;121;690;B6.6;yes;yes;no;yes;no;no;no;no;3;1;0
131;125;530;B5.3;yes;yes;no;yes;no;no;no;no;2;2;0
136;129;780;B6.5;yes;yes;no;yes;no;no;no;no;5;1;0
129;118;840;B4.4;yes;yes;no;yes;no;no;no;no;4;0;0
136;99;860;B5.2;yes;yes;no;yes;no;no;no;no;9;2;0
133;93;750;B6.5;yes;yes;no;no;no;no;yes;no;6;1;0
135;141;840;C1.3;yes;yes;no;no;no;no;yes;no;6;0;0
144;152;850;B3.8;yes;yes;no;no;no;no;yes;no;6;0;0
160;209;1140;B7.3;yes;yes;no;no;no;no;yes;no;8;1;1
172;182;2080;C2.0;yes;yes;no;no;no;no;yes;no;8;0;0
180;179;2330;B7.6;yes;yes;no;no;no;no;yes;no;6;1;0
181;166;2150;B7.4;yes;yes;no;no;no;no;yes;no;11;1;1
182;148;2050;B9.7;yes;yes;no;yes;no;no;yes;no;6;0;0
185;136;1650;C1.3;yes;yes;no;no;no;no;yes;no;3;0;1
183;131;1640;C8.6;yes;yes;no;no;no;no;yes;no;5;0;0
190;176;1900;B9.3;yes;yes;no;yes;no;no;yes;no;4;0;0
198;226;2390;C8.6;yes;yes;no;yes;no;no;no;no;6;0;1
208;270;2330;C1.3;yes;yes;no;yes;no;no;yes;no;9;1;0
218;299;2130;C1.3;yes;yes;no;yes;no;no;yes;no;12;0;0
242;319;2710;C1.8;yes;yes;no;yes;no;no;yes;no;6;7;0
231;323;2580;C9.8;yes;yes;no;yes;no;no;yes;no;6;0;0
239;300;2410;C1.2;yes;yes;no;no;no;no;yes;no;14;2;0
234;304;2560;C4.6;yes;yes;no;no;no;no;yes;no;10;3;0
227;297;1860;C1.4;yes;yes;no;yes;no;no;yes;no;5;0;0
209;265;2230;C1.7;yes;yes;no;yes;no;no;yes;no;13;1;0
193;259;2170;C1.9;yes;yes;no;yes;no;no;yes;no;19;0;0
180;220;2210;C1.2;yes;yes;no;yes;no;no;no;no;17;1;0
168;218;1680;C1.3;yes;yes;no;yes;no;no;no;no;11;0;1
151;150;1310;C1.5;yes;yes;no;yes;no;no;no;no;8;1;0
142;144;780;B9.5;yes;yes;no;yes;no;no;no;no;2;1;0
145;135;910;B8.0;yes;yes;no;yes;no;no;no;no;8;0;0
136;141;970;B6.8;yes;yes;no;yes;no;no;no;no;7;1;0
135;150;880;B5.5;yes;yes;no;yes;no;yes;no;no;5;0;0
140;164;770;B6.8;yes;yes;no;no;no;yes;no;no;3;0;0
148;140;870;B8.0;yes;yes;no;yes;no;no;no;no;2;0;0
172;180;1280;B8.5;yes;yes;no;yes;no;no;no;no;12;0;0
184;230;1930;B8.9;yes;yes;no;yes;no;no;no;no;5;0;0
192;214;2110;B9.3;yes;yes;no;yes;no;no;no;no;13;1;0
208;254;2620;C1.2;yes;yes;no;no;no;no;yes;no;7;2;0
210;281;2820;C1.1;yes;yes;no;yes;no;no;yes;no;11;2;0
214;247;2830;C1.6;yes;yes;no;no;no;no;yes;no;1;4;0
227;270;2730;C1.9;yes;yes;no;no;no;no;yes;no;14;2;0
241;308;2850;C1.6;yes;yes;no;no;no;no;yes;no;12;3;0
237;247;3420;C1.7;yes;yes;no;no;no;no;yes;no;11;2;0
228;209;2940;C1.5;yes;yes;no;no;no;no;yes;no;18;4;0
220;238;2710;C1.8;yes;yes;no;no;no;no;yes;no;12;1;1
220;205;2570;C1.9;yes;yes;no;no;no;no;yes;no;14;2;0
225;207;2370;C1.7;yes;yes;no;yes;no;no;yes;no;8;5;0
196;199;1440;C3.0;yes;yes;no;yes;no;no;yes;no;5;2;1
179;136;1380;C1.1;yes;yes;no;yes;no;no;no;no;4;2;0
169;105;1320;C3.5;yes;yes;no;yes;no;no;no;no;7;1;0
161;133;1070;B7.4;yes;yes;no;no;no;no;no;no;6;0;0
163;87;1070;C1.0;yes;yes;no;no;no;no;no;no;12;3;0
169;146;910;C2.3;yes;yes;no;no;no;no;yes;no;11;3;0
170;150;1300;C1.3;yes;yes;no;no;no;no;yes;no;10;0;1
180;153;1740;C1.3;yes;yes;no;yes;no;no;no;no;11;0;0
181;187;1560;C1.7;yes;yes;no;yes;no;no;yes;no;5;0;0
174;227;1890;B9.4;yes;yes;no;yes;no;no;no;no;8;0;0
171;266;1750;C1.3;yes;yes;no;yes;no;no;no;no;7;1;0
171;215;1380;B9.7;yes;yes;no;yes;no;no;no;no;13;0;0
175;225;1260;B6.4;yes;yes;no;yes;no;no;no;no;8;0;0
178;189;990;B7.5;yes;yes;no;yes;no;no;no;no;3;0;0
183;180;1060;B9.4;no;yes;no;no;no;no;no;no;6;0;0
192;221;1620;B8.3;yes;yes;no;no;no;no;no;no;1;1;0
206;194;1920;B9.6;yes;yes;no;yes;no;no;no;no;4;1;0
221;226;2570;B9.3;yes;yes;no;no;no;no;yes;no;13;1;0
216;213;2240;B8.7;yes;yes;no;yes;no;no;yes;no;7;1;0
212;258;1850;B7.0;yes;yes;no;yes;no;no;yes;no;8;0;0
206;246;1760;B7.5;yes;yes;no;no;no;no;yes;no;1;0;0
207;256;1770;B6.5;yes;yes;no;no;no;no;yes;no;8;0;0
188;168;1460;B7.7;yes;yes;no;yes;no;no;yes;no;10;1;0
183;190;1530;B9.0;yes;yes;no;yes;no;no;no;no;8;1;0
194;228;1480;B6.7;yes;yes;no;yes;no;no;no;no;10;0;0
177;225;1570;C1.1;yes;yes;no;yes;no;no;no;no;7;0;0
165;206;1500;B6.4;yes;yes;no;yes;no;no;no;no;5;0;0
164;237;1730;B8.2;yes;yes;no;no;no;yes;no;no;5;2;0
159;217;1500;B7.6;yes;yes;no;no;no;no;yes;no;7;0;0
160;218;1500;B5.2;yes;yes;no;no;no;yes;no;no;3;0;0
154;209;1600;B9.7;yes;yes;no;no;no;yes;no;no;2;0;0
158;240;1430;B4.8;yes;yes;no;yes;no;no;no;no;3;0;0
153;230;1670;B6.0;yes;yes;no;yes;no;no;no;no;3;0;0
150;157;1270;B7.9;yes;yes;no;yes;no;yes;no;no;12;0;0
152;185;970;B6.2;yes;yes;no;yes;no;no;no;no;5;2;0
149;140;790;C1.3;yes;yes;no;yes;no;no;yes;no;8;0;0
138;146;720;B6.0;no;yes;no;no;no;no;yes;no;7;1;0
140;94;520;B9.0;yes;yes;no;no;no;no;yes;no;14;1;0
140;105;650;NA;yes;yes;no;no;no;no;yes;no;3;0;0
136;99;870;NA;no;yes;no;yes;no;no;yes;no;8;0;0
146;81;720;NA;yes;yes;no;yes;no;no;no;no;4;1;0
158;98;910;NA;yes;yes;no;yes;no;no;no;no;12;6;0
155;155;1370;NA;yes;yes;no;yes;no;no;yes;no;9;2;0
162;126;1095;NA;yes;yes;no;yes;no;no;no;no;4;2;0
164;143;1100;NA;yes;yes;no;yes;no;no;no;no;3;0;0
165;128;1010;NA;yes;yes;no;yes;no;no;no;no;8;0;0
167;226;1470;NA;yes;yes;no;yes;no;no;no;no;2;0;0
172;244;1420;NA;yes;yes;no;no;no;no;yes;no;4;0;0
179;178;1310;NA;yes;yes;no;yes;no;no;yes;no;10;0;0
180;171;1680;NA;yes;yes;no;no;no;no;yes;no;1;0;0
179;167;1570;NA;yes;yes;no;no;no;no;yes;no;3;1;0
181;175;1490;NA;yes;yes;no;no;no;no;yes;no;5;0;0
177;165;1090;NA;yes;yes;no;yes;no;no;no;no;7;1;0
183;182;1330;NA;yes;yes;no;yes;no;no;no;no;7;0;0
179;215;1210;NA;yes;yes;no;yes;no;no;no;no;9;0;0
173;200;1660;NA;yes;yes;no;yes;no;no;no;no;16;0;0
180;156;1610;NA;yes;yes;no;yes;no;no;no;no;11;0;0
180;179;1770;NA;yes;yes;no;yes;no;no;no;no;11;4;0
183;139;1420;NA;yes;yes;no;yes;no;no;no;no;11;0;0
169;132;1610;B7.1;no;yes;no;yes;no;no;no;no;4;1;0
164;116;1580;B6.7;no;yes;no;yes;no;no;yes;no;3;0;0
160;149;1480;B4.8;yes;yes;no;no;no;no;yes;no;4;0;0
173;151;1340;B5.5;yes;yes;no;no;no;no;yes;no;3;1;0
158;143;1300;B5.4;yes;yes;no;no;no;no;yes;no;2;0;0
157;120;1020;B6.0;yes;yes;no;yes;no;no;no;no;9;0;0
158;143;1230;B6.9;yes;yes;no;no;no;no;yes;no;12;1;0
162;168;1220;B9.4;yes;yes;no;no;no;no;yes;no;14;1;0
168;182;1390;C2.3;yes;yes;no;yes;no;no;no;no;14;0;0
170;134;920;C1.1;yes;yes;no;yes;no;no;no;no;7;1;1
162;169;950;B7.0;yes;yes;no;no;no;no;no;no;5;0;0
165;177;1050;B6.3;yes;yes;no;yes;no;no;no;no;4;0;0
169;217;1280;B6.4;yes;yes;no;yes;no;no;no;no;4;1;0
177;166;1540;B8.3;yes;yes;no;yes;no;no;no;no;8;0;0
183;175;1660;B7.3;yes;yes;no;yes;no;no;no;no;11;0;0
185;234;1550;B6.7;yes;yes;no;yes;no;no;yes;no;12;0;0
190;259;1430;B7.2;yes;yes;no;yes;no;no;yes;no;2;0;0
189;252;1510;B8.4;yes;yes;no;no;no;no;yes;no;8;0;0
191;174;1730;C1.2;yes;yes;no;no;no;no;yes;no;6;1;0
191;219;1560;C1.2;yes;yes;no;no;no;no;yes;no;17;1;0
185;197;1340;C1.4;yes;yes;no;no;no;no;yes;no;4;2;0
178;155;1250;B8.3;yes;yes;no;yes;no;no;no;no;4;1;0
182;182;1190;C1.1;yes;yes;no;yes;no;no;no;no;4;1;0
184;185;1290;C1.1;yes;yes;no;yes;no;no;no;no;8;1;0
198;185;1640;C1.2;yes;yes;no;no;no;no;yes;no;7;1;0
199;162;2130;C1.0;yes;yes;no;yes;no;no;yes;no;5;0;0
185;139;2360;C1.0;yes;yes;no;yes;no;no;yes;no;7;1;0
179;119;2070;B8.5;yes;yes;no;yes;no;no;no;no;8;1;0
168;105;1580;B8.6;yes;yes;no;yes;no;no;no;no;4;0;0
159;108;1360;B7.1;yes;yes;no;yes;no;no;no;no;8;1;0
151;143;1190;B6.3;yes;yes;no;yes;no;no;no;no;9;0;0
149;124;1110;B6.4;yes;yes;no;yes;no;no;no;no;3;0;0
148;126;1120;B5.9;yes;yes;no;yes;no;no;no;no;10;0;0
146;123;990;B4.1;yes;yes;no;yes;no;no;no;no;8;0;0
137;106;880;B4.3;yes;yes;no;yes;no;no;no;no;5;0;0
142;100;790;B5.1;yes;yes;no;no;no;no;no;no;3;0;0
143;112;760;B8.3;yes;yes;no;no;no;no;no;no;8;0;0
140;124;840;B7.6;yes;yes;no;yes;no;no;no;no;14;0;0
141;107;620;B4.9;yes;yes;no;no;no;no;no;no;1;0;0
146;150;740;B4.4;yes;yes;no;no;no;no;no;no;1;0;0
150;97;620;B5.0;yes;yes;no;no;no;no;no;no;5;0;0
146;155;850;B3.6;yes;yes;no;no;no;no;no;no;3;0;0
146;135;740;B4.1;yes;yes;no;yes;no;no;no;no;2;0;0
149;144;770;B4.2;yes;yes;no;yes;no;no;no;no;0;1;0
149;153;860;B3.8;no;yes;no;yes;no;no;no;no;2;0;0
148;112;700;B3.8;yes;yes;no;yes;no;no;no;no;2;0;0
151;106;490;B4.0;yes;yes;no;yes;no;no;no;no;2;0;0
154;150;660;B5.0;yes;yes;no;yes;no;no;no;no;3;0;0
156;189;750;B7.7;yes;yes;no;yes;no;no;no;no;5;0;0
161;142;580;C1.0;yes;yes;no;no;no;no;no;no;5;1;0
152;171;500;B9.1;yes;yes;no;yes;no;no;no;no;4;0;0
153;129;430;B9.4;yes;yes;no;yes;no;no;no;no;3;0;0
167;176;810;B9.7;yes;yes;no;no;no;no;no;no;9;0;0
186;214;1260;C1.1;yes;yes;no;no;no;no;no;no;6;0;0
203;217;1350;C1.1;yes;yes;no;yes;no;no;no;no;12;0;0
203;194;1200;C1.4;yes;yes;no;yes;no;no;no;no;10;3;0
213;252;1550;C1.3;yes;yes;no;yes;no;no;no;no;10;1;0
197;261;1820;C1.1;yes;yes;no;yes;no;no;yes;no;11;1;0
193;225;1360;B9.2;yes;yes;no;yes;no;no;yes;no;12;1;0
197;203;1650;C1.0;yes;yes;no;yes;no;no;yes;no;12;1;0
184;199;1180;B6.9;yes;yes;no;yes;no;no;yes;no;7;0;0
172;168;930;B8.6;yes;yes;no;yes;no;no;yes;no;4;1;0
159;160;1600;B7.4;no;yes;no;yes;no;no;yes;no;5;0;0
147;119;700;B7.1;yes;yes;no;yes;no;no;no;no;5;0;0
132;77;350;B7.4;yes;yes;no;yes;no;no;no;no;5;0;0
127;62;310;B4.2;yes;yes;no;no;no;no;no;no;2;0;0
117;63;200;B2.7;yes;yes;no;no;no;no;no;no;0;0;0
117;70;150;B2.6;yes;yes;no;no;no;no;no;no;1;0;0
115;51;100;B1.9;yes;yes;no;no;no;no;no;no;0;0;0
114;44;90;B1.5;yes;yes;no;no;no;no;no;no;0;0;0
115;50;150;B1.8;yes;yes;no;no;no;no;no;no;0;0;0
115;47;120;B1.7;yes;yes;no;no;no;no;no;no;0;0;0
118;74;160;B1.8;yes;yes;no;no;no;no;no;no;1;0;0
138;108;330;B3.3;yes;yes;no;no;no;no;no;no;7;0;0
143;117;640;B4.4;yes;yes;no;no;no;no;no;no;5;0;0
148;128;660;B4.6;yes;yes;no;yes;no;no;no;no;3;0;0
162;141;520;B7.4;yes;yes;no;yes;no;no;no;no;5;0;0
163;199;850;B9.3;yes;yes;no;yes;no;no;no;no;5;2;0
174;198;1270;B9.4;yes;yes;no;no;no;no;no;no;8;0;0
183;206;1300;C1.1;no;yes;no;yes;no;no;no;no;8;1;0
185;199;1160;B7.6;yes;yes;no;yes;no;no;no;no;2;0;0
189;238;1490;B8.7;yes;yes;no;yes;no;no;no;no;11;0;0
173;232;1210;B7.1;yes;yes;no;yes;no;no;no;no;5;0;0
172;182;900;B7.1;yes;yes;no;no;no;no;no;no;7;0;0
164;176;930;B6.2;yes;yes;no;no;no;no;no;no;9;0;0
150;173;810;B4.6;yes;yes;no;no;no;no;no;no;1;0;0
145;135;690;B4.1;yes;yes;no;no;no;no;no;no;3;0;0
142;150;630;B3.6;yes;yes;no;no;no;no;no;no;1;0;0
137;148;600;B3.5;yes;yes;no;no;no;no;no;no;0;0;0
130;168;710;B3.5;yes;yes;no;no;no;no;no;no;0;0;0
138;184;690;B4.2;yes;yes;no;no;no;no;no;no;5;0;0
134;167;770;B5.4;yes;yes;no;no;no;no;no;no;7;1;0
130;152;600;B3.4;yes;yes;no;no;no;no;no;no;2;1;0
136;123;650;B4.2;yes;yes;no;no;no;no;no;no;2;2;0
130;129;770;B4.4;yes;yes;no;yes;no;no;no;no;3;1;0
129;103;470;B3.2;yes;yes;no;yes;no;yes;no;no;4;0;0
125;133;510;B2.6;yes;yes;no;yes;no;no;no;no;1;0;0
121;134;380;B2.0;yes;yes;no;yes;no;no;no;no;1;0;0
126;133;490;B2.0;no;yes;no;yes;no;no;no;no;1;0;0
124;173;680;B2.5;yes;yes;no;no;no;no;no;no;2;0;0
121;105;470;B1.9;yes;yes;no;no;no;no;no;no;0;0;0
120;96;410;B2.8;yes;yes;no;no;no;no;no;no;3;0;0
126;75;460;B4.5;yes;yes;no;no;no;no;no;no;8;1;0
127;61;430;B4.2;yes;yes;no;no;no;no;no;no;7;0;0
133;69;450;B3.9;yes;yes;no;no;no;no;no;no;1;0;0
135;77;470;B3.9;yes;yes;no;no;no;no;no;no;2;0;0
140;89;430;B4.0;no;yes;no;yes;no;no;no;no;2;0;0
150;135;510;B5.9;no;yes;no;yes;no;no;no;no;4;1;0
147;153;490;B3.8;yes;yes;no;no;no;no;no;no;1;0;0
139;162;470;B3.1;yes;yes;no;yes;no;no;no;no;1;0;0
141;194;430;B3.2;yes;yes;no;no;no;no;no;no;0;0;0
136;163;290;B3.1;yes;yes;no;no;no;no;no;no;2;0;0
135;134;250;B3.1;yes;yes;no;no;no;no;no;no;1;0;0
132;119;260;B2.9;yes;yes;no;no;no;no;no;no;4;0;0
131;113;250;B2.7;yes;yes;no;no;no;no;no;no;2;0;0
131;113;270;B4.1;yes;yes;no;no;no;no;no;no;9;1;0
124;96;210;B4.7;yes;yes;no;no;no;no;no;no;4;0;0
119;41;100;B2.8;yes;yes;no;no;no;no;no;no;3;0;0
112;16;50;B2.3;no;yes;no;no;no;no;no;no;2;0;0
110;51;60;B1.4;no;yes;no;no;no;no;no;no;0;0;0
116;57;240;B1.9;no;yes;no;no;no;no;no;no;2;0;0
118;66;590;B2.8;yes;yes;no;yes;no;no;no;no;2;0;0
120;87;520;B4.5;no;yes;no;yes;no;no;no;no;10;0;0
107;53;400;B2.2;no;yes;no;yes;no;no;no;no;7;0;0
104;41;380;B1.0;yes;yes;no;yes;no;no;no;no;0;0;0
102;44;270;A8.0;yes;no;no;yes;no;no;no;no;1;0;0
102;48;210;A9.4;yes;no;no;yes;no;no;no;no;0;0;0
109;45;220;B2.2;yes;yes;no;no;no;no;no;no;0;0;0
118;82;250;B4.1;yes;yes;no;no;no;no;no;no;2;0;0
125;77;510;B4.5;yes;yes;no;no;no;no;no;no;5;0;0
138;73;850;B5.1;yes;yes;no;no;no;no;no;no;7;0;0
147;67;840;B5.3;yes;yes;no;no;no;no;no;no;5;0;0
149;136;900;B3.7;yes;yes;no;no;no;no;no;no;1;0;0
146;160;950;B3.7;yes;yes;no;yes;no;no;no;no;0;0;0
149;138;790;B3.4;yes;yes;no;yes;no;no;no;no;0;0;0
150;132;660;B4.1;yes;yes;no;yes;no;no;no;no;0;0;0
150;191;960;B3.8;yes;yes;no;yes;no;no;no;no;0;0;0
148;203;1220;B3.7;yes;yes;no;yes;no;no;no;no;2;0;0
153;224;1410;B3.8;yes;yes;no;yes;no;no;no;no;5;0;0
144;214;1240;B3.3;yes;yes;no;yes;no;no;no;no;2;0;0
142;142;1080;B2.9;yes;yes;no;yes;no;no;no;no;1;0;0
138;109;990;B2.6;yes;yes;no;no;no;no;no;no;0;0;0
134;88;770;B2.6;yes;yes;no;no;no;no;no;no;1;0;0
139;114;840;B2.5;yes;yes;no;yes;no;no;no;no;1;0;0
131;124;1010;B2.5;yes;yes;no;yes;no;no;no;no;3;0;0
129;121;1140;B3.5;yes;yes;no;yes;no;no;no;no;3;0;0
125;80;1080;B3.0;yes;yes;no;yes;no;no;yes;no;6;0;1
118;64;1010;B4.2;yes;no;no;yes;no;no;yes;no;10;2;1
108;53;650;B3.6;yes;yes;no;yes;no;no;yes;no;16;4;0
97;45;400;B2.1;no;yes;no;no;no;no;yes;no;1;1;0
91;40;200;B1.6;yes;yes;no;yes;no;no;no;no;2;0;0
89;40;70;B1.4;yes;no;no;yes;no;no;no;no;3;0;0
93;43;110;B1.3;no;yes;no;no;no;no;no;no;2;0;0
98;64;190;B1.6;no;yes;no;no;no;no;no;no;2;0;0
109;89;480;B1.7;no;yes;no;no;no;no;no;no;0;0;0
127;116;640;B3.3;yes;yes;no;no;no;no;no;no;2;0;0
141;156;1030;B4.2;yes;yes;no;yes;no;no;no;no;8;0;0
147;189;1280;B3.4;yes;yes;no;yes;no;no;yes;no;0;0;0
155;155;1120;B4.3;yes;yes;no;yes;no;no;no;no;9;0;0
155;176;1270;B3.8;yes;yes;no;no;no;no;no;no;3;0;0
160;165;1040;B3.8;yes;yes;no;yes;no;no;no;no;3;0;0
153;161;1050;B4.0;yes;yes;no;yes;no;no;no;no;2;0;0
158;189;1150;B5.1;yes;yes;no;yes;no;no;no;no;6;0;0
156;154;1160;B6.4;yes;yes;no;yes;no;no;no;no;9;0;0
153;148;1320;B8.4;yes;yes;no;yes;no;no;no;no;12;1;0
137;94;1110;B5.0;yes;yes;no;no;no;no;yes;no;8;0;0
126;75;800;B3.3;yes;yes;no;no;no;no;yes;no;2;0;0
116;77;730;B2.6;yes;yes;no;yes;no;no;no;no;2;0;0
112;52;700;B2.0;yes;yes;no;no;no;no;no;no;0;0;0
109;88;660;B2.1;yes;no;no;yes;no;no;no;no;5;1;0
103;66;520;B1.4;yes;yes;no;yes;no;no;no;no;0;0;0
103;49;480;B1.3;yes;yes;no;no;no;no;no;no;2;0;0
102;60;460;B1.2;yes;yes;no;no;no;no;no;no;0;0;0
