radio_flux_10.7cm;sesc_sunspot_number;sunspot_area;goes15_xray_bkgd_flux;mwl_alpha;mwl_beta;mwl_gamma;mwl_beta_gamma;mwl_delta;mwl_beta_delta;mwl_beta_gamma_delta;mwl_gamma_delta;c_class_flares;m_class_flares;x_class_flares
76;23;70;A4.6;no;yes;no;no;no;no;no;no;3;1;0
81;52;120;B1.0;no;yes;no;no;no;no;no;no;2;0;0
79;46;160;A7.9;no;yes;no;yes;no;no;no;no;1;0;0
79;36;160;A4.3;no;yes;no;yes;no;no;no;no;0;0;0
80;36;100;A4.3;no;yes;no;yes;no;no;no;no;0;0;0
78;28;60;A3.8;no;yes;no;no;no;no;no;no;0;0;0
77;16;30;B2.2;yes;yes;no;no;no;no;no;no;1;0;0
76;27;30;A4.1;no;yes;no;no;no;no;no;no;0;0;0
78;30;30;A2.8;yes;yes;no;no;no;no;no;no;1;0;0
78;47;130;A4.1;no;yes;no;no;no;no;no;no;0;0;0
77;31;140;A2.0;no;yes;no;no;no;no;no;no;0;0;0
76;30;80;A1.4;no;yes;no;no;no;no;no;no;0;0;0
79;34;90;A3.2;no;yes;no;no;no;no;no;no;0;0;0
77;45;110;A6.9;no;yes;no;no;no;no;no;no;1;0;0
79;39;210;A4.5;yes;yes;no;no;no;no;no;no;2;0;0
75;33;180;A8.6;no;yes;no;yes;no;no;no;no;0;0;0
72;29;40;A5.5;no;yes;no;no;no;no;no;no;0;0;0
70;13;10;A1.9;no;yes;no;no;no;no;no;no;0;0;0
70;12;10;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;0;0;A0.0;yes;no;no;no;no;no;no;no;0;0;0
70;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
71;12;10;A0.0;no;no;no;no;no;no;no;no;0;0;0
69;13;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
70;13;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
69;12;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
71;32;30;A0.0;no;yes;no;no;no;no;no;no;0;0;0
73;17;30;A1.8;no;yes;no;no;no;no;no;no;0;0;0
72;17;30;A1.4;no;yes;no;no;no;no;no;no;0;0;0
72;12;0;A0.0;no;yes;no;no;no;no;no;no;0;0;0
73;0;0;A1.3;yes;no;no;no;no;no;no;no;0;0;0
72;0;0;A1.4;no;no;no;no;no;no;no;no;0;0;0
72;0;0;A0.0;no;no;no;no;no;no;no;no;0;0;0
71;13;10;A1.0;no;no;no;no;no;no;no;no;0;0;0
71;11;0;A1.8;no;yes;no;no;no;no;no;no;0;0;0
72;11;120;A7.9;yes;no;no;no;no;no;no;no;0;0;0
72;11;90;A1.5;yes;no;no;no;no;no;no;no;0;0;0
72;11;70;A1.1;yes;no;no;no;no;no;no;no;0;0;0
72;23;90;A1.1;yes;no;no;no;no;no;no;no;0;0;0
72;14;90;A0.0;yes;yes;no;no;no;no;no;no;0;0;0
72;23;90;A0.0;no;yes;no;no;no;no;no;no;0;0;0
72;26;90;A1.1;yes;no;no;no;no;no;no;no;0;0;0
72;12;60;A2.2;yes;yes;no;no;no;no;no;no;1;0;0
74;15;70;A1.2;yes;no;no;no;no;no;no;no;0;0;0
74;17;70;A6.4;no;yes;no;no;no;no;no;no;0;0;0
