,year,month,date,date_in_Fraction,daily total sunspot number,daily std dev,number of stations,definitive/provisional marker
131,1997,5,12,1997.36,14,0.9,27,0
132,1997,5,13,1997.363,17,0.9,25,0
133,1997,5,14,1997.366,18,0.8,20,0
134,1997,5,15,1997.368,15,1.6,23,0
135,1997,5,16,1997.371,23,3.3,23,0
136,1997,5,17,1997.374,23,3.5,24,0
137,1997,5,18,1997.377,29,2.3,24,0
138,1997,5,19,1997.379,37,3.8,25,0
139,1997,5,20,1997.382,54,3.2,23,0
140,1997,5,21,1997.385,72,5.1,20,0
141,1997,5,22,1997.388,66,3.4,19,0
142,1997,5,23,1997.39,55,3.1,23,0
143,1997,5,24,1997.393,41,1.7,18,0
144,1997,5,25,1997.396,40,2.7,24,0
145,1997,5,26,1997.399,48,4.2,27,0
146,1997,5,27,1997.401,34,4.7,21,0
147,1997,5,28,1997.404,23,2.4,26,0
148,1997,5,29,1997.407,19,1.8,25,0
149,1997,5,30,1997.41,17,1.7,23,0
150,1997,5,31,1997.412,26,3.2,19,0
151,1997,6,1,1997.415,33,1.3,17,0
152,1997,6,2,1997.418,36,2.1,19,0
153,1997,6,3,1997.421,24,2.2,23,0
154,1997,6,4,1997.423,18,1.7,20,0
155,1997,6,5,1997.426,18,1.6,20,0
156,1997,6,6,1997.429,20,1.6,22,0
157,1997,6,7,1997.432,20,2.5,19,0
158,1997,6,8,1997.434,31,2.8,23,0
159,1997,6,9,1997.437,26,2.5,21,0
160,1997,6,10,1997.44,13,1.4,25,0
161,1997,6,11,1997.442,13,0.9,19,0
162,1997,6,12,1997.445,26,3.2,25,0
163,1997,6,13,1997.448,29,1.8,25,0
164,1997,6,14,1997.451,31,3.8,26,0
165,1997,6,15,1997.453,31,2.9,20,0
166,1997,6,16,1997.456,33,2.9,22,0
167,1997,6,17,1997.459,21,2.0,25,0
168,1997,6,18,1997.462,29,2.1,19,0
169,1997,6,19,1997.464,16,1.7,23,0
170,1997,6,20,1997.467,13,1.1,20,0
171,1997,6,21,1997.47,11,3.3,25,0
172,1997,6,22,1997.473,0,2.0,20,0
173,1997,6,23,1997.475,15,4.1,25,0
174,1997,6,24,1997.478,15,1.9,28,0
175,1997,6,25,1997.481,31,3.0,22,0
176,1997,6,26,1997.484,24,1.6,23,0
177,1997,6,27,1997.486,20,2.6,25,0
178,1997,6,28,1997.489,13,1.6,17,0
179,1997,6,29,1997.492,13,4.1,18,0
180,1997,6,30,1997.495,0,2.0,20,0
181,1997,7,1,1997.497,0,2.0,24,0
182,1997,7,2,1997.5,0,2.0,21,0
183,1997,7,3,1997.503,10,6.7,25,0
184,1997,7,4,1997.505,11,2.6,26,0
185,1997,7,5,1997.508,10,3.5,26,0
186,1997,7,6,1997.511,12,7.9,22,0
187,1997,7,7,1997.514,32,5.2,22,0
188,1997,7,8,1997.516,20,5.5,22,0
189,1997,7,9,1997.519,21,2.3,22,0
190,1997,7,10,1997.522,16,6.1,22,0
191,1997,7,11,1997.525,0,2.0,22,0
192,1997,7,12,1997.527,0,2.0,23,0
193,1997,7,13,1997.53,0,2.0,22,0
194,1997,7,14,1997.533,11,3.7,25,0
195,1997,7,15,1997.536,0,2.0,22,0
196,1997,7,16,1997.538,0,2.0,24,0
197,1997,7,17,1997.541,9,4.6,20,0
198,1997,7,18,1997.544,9,3.5,17,0
199,1997,7,19,1997.547,0,2.0,22,0
200,1997,7,20,1997.549,14,5.5,21,0
201,1997,7,21,1997.552,0,2.0,24,0
202,1997,7,22,1997.555,14,5.8,27,0
203,1997,7,23,1997.558,25,2.3,26,0
204,1997,7,24,1997.56,36,2.6,24,0
205,1997,7,25,1997.563,48,4.3,25,0
206,1997,7,26,1997.566,42,4.4,20,0
207,1997,7,27,1997.568,31,4.6,21,0
208,1997,7,28,1997.571,14,5.2,22,0
209,1997,7,29,1997.574,14,8.7,23,0
210,1997,7,30,1997.577,0,2.0,19,0
211,1997,7,31,1997.579,0,2.0,19,0
212,1997,8,1,1997.582,0,2.0,16,0
213,1997,8,2,1997.585,12,4.9,20,0
214,1997,8,3,1997.588,19,2.3,21,0
215,1997,8,4,1997.59,13,1.3,24,0
216,1997,8,5,1997.593,25,3.9,20,0
217,1997,8,6,1997.596,53,3.2,24,0
218,1997,8,7,1997.599,60,2.5,28,0
219,1997,8,8,1997.601,66,4.5,25,0
220,1997,8,9,1997.604,56,3.9,25,0
221,1997,8,10,1997.607,31,3.2,23,0
222,1997,8,11,1997.61,53,6.4,24,0
223,1997,8,12,1997.612,70,4.1,24,0
224,1997,8,13,1997.615,67,3.3,25,0
225,1997,8,14,1997.618,57,2.8,22,0
226,1997,8,15,1997.621,54,5.9,24,0
227,1997,8,16,1997.623,31,3.0,24,0
228,1997,8,17,1997.626,26,1.6,24,0
229,1997,8,18,1997.629,23,3.6,23,0
230,1997,8,19,1997.632,13,1.6,25,0
231,1997,8,20,1997.634,12,0.9,24,0
232,1997,8,21,1997.637,13,1.4,29,0
233,1997,8,22,1997.64,12,0.9,19,0
234,1997,8,23,1997.642,13,3.8,25,0
235,1997,8,24,1997.645,0,2.0,22,0
236,1997,8,25,1997.648,22,3.6,25,0
237,1997,8,26,1997.651,31,2.6,22,0
238,1997,8,27,1997.653,35,2.1,23,0
239,1997,8,28,1997.656,48,4.7,25,0
